,A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Naduv,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Miscellaneous
20210224,"5,644","4,72,460","22,433","1,79,625","5,40,315","17,256","3,66,493","5,047","1,858","3,48,669","16,741","8,30,565","2,16,422","98,881","2,17,910","2,72,164","5,86,545","4,22,669","8,199","2,344","6,46,766","9,81,359","46,042","28,248","19,643","27,195","4,50,361","9,436","1,39,305","7,83,652","15,875","3,68,678","2,83,387","86,336","11,40,754","1,39,169","7,87,013","4,69,356"
20210225,"6,034","5,03,858","24,193","1,89,569","5,48,175","18,894","3,73,644","5,252","2,151","3,62,072","17,875","8,32,737","2,20,672","1,00,723","2,30,494","2,80,339","5,96,274","4,41,597","8,753","2,353","6,49,377","10,10,322","48,938","28,860","20,955","28,691","4,58,368","9,455","1,49,029","7,97,900","16,630","3,78,411","2,84,058","88,487","11,67,285","1,40,671","8,72,999","5,23,554"
20210226,"6,134","5,29,607","25,379","1,95,906","5,60,158","20,890","3,77,834","5,352","2,371","3,72,906","18,722","8,33,722","2,21,841","1,01,504","2,40,817","2,84,371","6,04,954","4,82,445","9,226","2,368","6,50,684","10,41,947","52,420","30,465","21,997","29,806","4,60,554","9,920","1,54,449","7,98,447","16,951","3,88,896","2,89,772","89,449","11,70,925","1,42,340","9,61,416","5,81,724"
20210227,"6,134","5,29,607","25,379","1,95,906","5,60,158","20,890","3,77,834","5,352","2,371","3,72,906","18,722","8,33,722","2,21,841","1,01,504","2,40,817","2,84,371","6,04,954","4,82,445","9,226","2,368","6,50,684","10,41,947","52,420","30,465","21,997","29,806","4,60,554","9,920","1,54,449","7,98,447","16,951","3,88,896","2,89,772","89,449","11,70,925","1,42,340","9,61,416","6,38,130"
20210228,"6,134","5,29,607","25,379","1,95,906","5,60,158","20,890","3,77,834","5,352","2,371","3,72,906","18,722","8,33,722","2,21,841","1,01,504","2,40,817","2,84,371","6,04,954","4,82,445","9,226","2,368","6,50,684","10,41,947","52,420","30,465","21,997","29,806","4,60,554","9,920","1,54,449","7,98,447","16,951","3,88,896","2,89,772","89,449","11,70,925","1,42,340","9,61,416","6,38,130"
20210301,"6,581","5,41,202","27,572","2,01,640","5,62,270","22,424","3,86,030","5,063","2,371","3,85,341","20,622","8,89,167","2,25,281","1,02,373","2,51,276","2,88,240","6,08,840","5,11,510","9,226","2,410","6,71,302","10,63,187","53,805","31,202","22,819","30,251","4,75,608","10,292","1,61,361","8,63,992","17,516","4,14,032","2,94,255","90,990","11,78,302","1,43,835","9,75,574","7,08,575"
20210302,"6,912","5,54,530","29,580","2,20,573","5,69,040","22,299","3,98,574","5,334","2,718","4,02,942","23,200","9,79,651","2,31,579","1,04,268","2,62,045","2,95,125","6,19,620","5,41,951","9,226","2,413","6,71,302","11,00,898","57,280","32,539","25,374","31,432","4,99,346","10,994","1,69,159","10,05,225","18,428","4,50,651","3,03,387","93,639","11,78,302","1,49,030","10,25,696","8,02,509"
20210303,"6,912","5,74,200","29,711","2,38,570","5,83,179","24,832","4,19,066","5,529","3,386","4,23,800","26,530","10,28,606","2,36,507","1,06,114","2,62,045","3,05,650","6,37,890","5,73,353","9,582","2,413","7,21,751","11,68,251","60,566","33,984","28,350","33,810","5,25,494","12,948","1,79,181","12,20,438","19,675","5,10,361","3,18,861","94,404","11,78,302","1,54,382","10,90,793","8,89,695"
20210304,"6,912","5,94,085","32,733","2,79,061","6,01,638","27,336","4,46,330","5,892","3,735","4,46,950","30,473","11,56,897","2,51,481","1,10,698","2,79,250","3,15,807","6,56,627","6,62,393","11,471","2,413","7,78,691","12,54,197","62,649","35,382","30,949","35,222","5,69,475","14,542","1,91,228","13,26,074","21,341","5,85,353","3,40,068","98,906","12,28,226","1,64,776","11,65,605","9,71,969"
20210305,"8,392","6,19,712","34,966","3,12,558","6,23,488","29,803","4,76,352","6,407","4,156","4,68,847","33,856","12,95,464","2,68,976","1,17,053","2,95,633","3,27,826","6,81,345","7,36,363","12,616","2,482","7,88,184","13,59,974","65,465","38,512","31,804","35,901","5,90,213","15,431","2,05,837","15,85,089","23,234","6,70,563","3,54,107","1,03,590","12,91,419","1,76,012","12,53,831","10,51,222"
20210306,"8,977","6,51,309","36,210","3,43,888","6,50,391","32,210","5,12,080","6,814","4,687","4,94,939","36,733","14,20,465","2,78,910","1,22,400","3,12,827","3,38,631","7,03,891","8,19,410","14,599","2,638","8,58,101","14,82,838","68,405","40,902","32,984","36,626","6,23,512","16,536","2,17,550","18,02,425","24,714","7,49,180","3,78,962","1,05,394","13,00,671","1,88,803","13,32,857","11,15,834"
20210307,"9,187","6,51,309","36,210","3,54,334","6,50,391","32,210","5,13,728","6,814","4,687","4,94,939","36,740","14,21,113","2,79,531","1,24,695","3,12,827","3,42,209","7,04,249","8,35,572","14,599","2,638","8,58,101","14,84,440","68,467","40,902","32,984","36,626","6,23,512","16,536","2,18,937","18,06,825","24,714","7,49,180","3,78,962","1,05,394","13,00,671","1,89,624","13,43,071","11,20,975"
20210308,"9,890","6,86,405","38,211","3,82,808","8,22,286","35,181","5,49,916","7,094","5,045","5,23,361","40,162","15,89,197","3,06,498","1,30,571","3,33,595","3,54,915","7,60,524","9,26,083","17,072","2,784","9,27,953","16,54,605","70,581","43,008","34,814","39,036","6,76,209","18,109","2,35,739","19,79,962","27,392","8,52,767","4,13,824","1,11,205","15,01,803","2,06,404","14,60,507","11,67,767"
20210309,"10,433","7,21,786","39,733","4,04,131","8,75,735","37,475","5,79,308","7,304","5,256","5,49,097","43,354","17,09,970","3,32,536","1,47,343","3,55,149","3,66,244","8,06,664","10,12,344","19,919","3,066","9,33,934","17,83,789","72,387","44,814","37,761","40,755","7,16,886","19,275","2,51,631","20,19,948","29,847","9,25,927","4,38,673","1,15,500","15,18,536","2,23,578","15,96,083","12,08,056"
20210310,"10,749","7,56,593","39,733","4,19,158","9,18,099","39,856","6,14,651","7,474","5,740","5,71,616","46,796","17,34,671","3,48,452","1,54,500","3,55,348","3,77,431","8,82,327","10,56,499","22,924","3,066","10,12,791","19,81,629","73,510","46,525","41,288","42,504","7,44,937","20,967","2,65,625","21,02,124","33,256","10,05,619","4,59,769","1,16,345","15,39,060","2,34,765","17,12,338","12,35,746"
20210311,"11,228","7,63,896","42,096","4,36,022","9,18,099","40,727","6,18,339","7,474","5,740","5,93,382","48,076","17,44,972","3,57,300","1,54,957","3,56,152","3,86,915","8,99,482","11,05,629","25,706","3,066","10,12,791","20,53,729","74,320","48,569","42,920","43,972","7,47,398","22,330","2,71,423","21,02,606","36,339","10,78,862","4,59,769","1,17,161","15,41,820","2,37,395","17,68,499","12,56,680"
20210312,"11,729","8,04,344","43,894","4,50,937","10,31,520","42,914","6,51,528","7,890","6,148","6,14,404","52,051","18,71,835","3,91,275","1,70,902","3,56,564","4,04,078","9,99,834","12,11,414","28,226","3,066","10,16,958","22,75,285","75,463","49,791","44,223","44,508","7,98,851","23,809","2,87,170","22,58,451","38,844","11,62,732","4,59,769","1,23,437","17,90,224","2,59,612","19,40,615","12,71,209"
20210313,"11,921","8,44,903","44,808","4,59,599","10,98,054","44,990","6,94,275","7,890","6,588","6,43,787","55,691","19,81,447","4,08,138","1,76,346","3,85,625","4,18,414","10,51,003","12,74,773","30,743","3,501","11,38,321","23,85,928","76,055","50,568","44,703","44,734","8,50,414","25,487","3,01,937","24,36,818","39,100","12,40,261","4,78,458","1,25,251","18,13,437","2,72,857","20,50,790","12,90,020"
20210314,"11,921","8,44,903","44,808","4,59,911","10,98,054","45,112","7,00,293","7,890","6,588","6,43,787","55,691","19,92,286","4,09,956","1,77,837","3,85,625","4,30,407","10,66,365","12,81,316","31,232","3,501","11,38,321","24,27,213","76,055","50,568","44,703","44,747","8,50,414","25,487","3,02,261","24,40,682","39,100","12,40,261","5,02,323","1,25,758","18,18,627","2,74,020","20,63,801","12,90,561"
20210315,"12,360","9,17,551","47,306","4,78,158","11,68,540","47,376","7,64,514","8,126","7,089","6,73,477","60,779","21,29,019","5,59,746","1,88,093","4,13,985","4,51,667","12,39,819","14,08,459","33,790","3,746","12,85,799","26,58,293","77,127","51,606","46,178","46,765","9,52,086","27,803","3,24,929","26,33,236","41,797","13,47,180","5,38,053","1,39,577","23,98,586","2,99,320","22,86,467","13,11,082"
20210316,"12,632","9,80,819","48,684","4,92,729","12,27,941","49,225","8,13,033","8,357","7,640","7,00,600","65,941","22,59,206","6,23,504","2,21,670","4,40,949","4,80,914","13,47,078","15,40,945","35,187","3,746","12,92,780","28,62,885","77,819","53,494","48,736","48,238","10,42,071","30,247","3,45,891","28,62,220","43,669","14,43,532","5,61,948","1,55,463","25,10,657","3,24,643","24,62,432","13,34,512"
20210317,"12,632","10,49,415","48,684","5,01,357","12,86,394","50,838","8,79,589","8,488","8,154","7,19,872","68,755","22,93,447","6,36,594","2,29,726","4,41,129","5,08,663","15,85,066","15,87,659","36,299","3,940","14,61,627","31,05,169","78,662","54,971","49,392","49,248","11,23,080","33,239","3,65,975","30,92,635","45,940","15,44,770","5,98,871","1,64,782","26,07,439","3,39,854","25,77,103","13,51,329"
20210318,"13,102","11,29,714","51,214","5,16,647","13,62,861","52,481","9,46,520","8,723","8,341","7,46,426","71,086","24,75,269","7,02,840","2,56,373","4,70,807","5,31,027","16,76,985","17,27,014","36,916","4,052","14,61,627","32,80,955","79,414","56,757","49,814","50,642","12,26,047","36,592","3,90,837","31,31,450","48,331","16,55,864","6,40,285","1,91,661","29,12,986","3,66,801","26,91,400","13,66,369"
20210319,"13,517","12,16,366","52,721","5,29,704","14,32,884","54,177","10,05,918","8,968","9,036","7,64,919","73,840","26,82,122","7,60,350","2,74,892","4,83,488","5,47,088","19,23,165","18,52,920","37,427","4,106","14,65,679","35,01,550","80,166","58,503","50,055","51,428","13,26,275","38,880","4,22,192","34,07,251","50,280","17,68,349","6,71,506","2,22,282","32,24,855","3,94,919","30,00,505","13,79,747"
20210320,"13,785","13,12,896","54,050","5,42,374","15,31,693","55,726","10,72,388","9,289","9,372","7,97,588","76,489","29,16,065","7,73,842","2,83,251","4,94,758","6,80,446","21,09,425","19,62,681","38,003","4,183","17,97,532","36,70,363","81,251","59,169","50,501","51,682","14,17,557","42,524","4,52,004","36,24,232","51,523","18,78,339","6,92,820","2,50,032","33,36,540","4,09,592","31,30,942","13,90,280"
20210321,"13,785","13,12,896","54,050","5,44,139","15,31,693","55,875","10,73,250","9,289","9,372","7,97,941","76,489","31,20,338","7,74,304","2,84,645","4,94,758","8,29,199","21,29,706","19,68,582","38,035","4,183","17,97,532","36,82,577","81,297","59,169","50,501","51,682","14,17,557","42,524","4,61,475","36,37,514","51,523","18,78,339","6,92,820","2,54,907","33,41,941","4,12,214","31,47,921","13,90,280"
20210322,"14,161","14,34,145","56,605","5,68,778","16,20,295","57,257","11,29,190","9,289","10,019","8,29,091","79,363","33,41,744","10,16,959","2,92,939","5,18,666","8,62,482","23,47,603","20,89,462","38,476","4,264","21,94,960","39,24,766","82,036","60,935","50,754","54,152","15,08,320","45,916","4,90,362","38,83,490","52,929","20,19,260","7,20,982","3,05,064","36,68,823","4,39,317","34,06,689","14,01,610"
20210323,"14,751","15,33,631","58,099","6,92,538","17,34,892","58,336","11,59,298","9,501","10,478","8,57,007","81,950","35,72,189","10,58,744","3,14,214","5,37,307","10,17,921","24,56,114","22,03,867","38,823","4,346","21,98,228","40,93,349","83,092","62,690","51,146","56,667","15,82,282","48,623","5,18,477","40,90,566","55,143","21,15,424","7,92,008","3,45,072","37,79,843","4,64,298","35,63,759","14,17,279"
20210324,"14,934","16,43,888","58,119","7,16,328","18,35,841","59,614","11,97,167","9,682","10,884","8,74,509","84,491","37,59,854","10,70,888","3,25,647","5,37,307","11,30,183","26,31,127","22,60,396","39,015","4,411","24,53,554","43,42,646","83,749","64,165","51,375","57,853","16,40,229","53,441","5,44,125","43,27,874","56,855","22,03,535","8,31,077","4,11,819","38,78,953","4,81,990","36,69,065","14,29,948"
20210325,"15,377","17,72,829","60,663","7,98,627","19,65,991","60,997","12,51,396","9,985","11,019","9,06,665","86,915","40,12,278","11,16,857","3,63,414","5,66,021","11,66,316","27,21,173","24,08,804","39,097","4,431","25,90,041","45,41,032","84,235","66,335","51,831","58,818","17,08,888","56,187","5,71,441","43,87,817","58,474","22,97,100","8,66,810","4,80,134","41,21,612","5,08,638","37,71,752","14,41,472"
20210326,"15,639","18,65,305","62,551","8,54,733","20,96,425","62,270","13,13,097","10,293","11,520","9,23,905","89,353","42,77,895","11,56,125","3,83,719","5,90,661","12,28,469","28,75,521","25,36,834","39,181","4,510","25,93,674","47,86,833","85,103","67,821","52,575","59,450","17,78,321","58,833","5,98,789","46,32,659","60,149","23,98,870","9,03,925","5,68,092","43,32,916","5,32,889","40,64,503","14,53,210"
20210327,"15,989","19,74,734","64,272","8,70,710","22,06,580","63,532","14,23,884","10,496","11,753","9,59,715","91,828","45,24,687","11,71,027","4,03,332","6,12,275","13,34,882","29,85,601","26,47,764","39,298","4,724","26,99,003","50,04,331","85,714","68,232","52,575","59,603","18,44,679","61,157","6,30,437","48,06,418","60,149","24,98,283","9,44,950","5,76,738","43,93,060","5,48,177","42,29,323","14,61,524"
20210328,"15,989","19,81,486","64,272","8,70,902","22,06,580","63,620","14,56,510","10,496","11,753","9,59,715","91,828","46,16,750","11,72,236","4,03,332","6,12,275","13,41,869","30,00,838","26,59,617","39,298","4,724","26,99,003","50,23,688","85,717","68,243","52,575","59,603","18,44,679","61,157","6,43,575","48,06,418","60,149","24,98,283","9,50,014","5,82,814","43,93,145","5,48,314","42,30,496","14,68,271"
20210329,"15,989","20,35,410","64,618","8,73,157","22,06,580","63,620","14,56,510","10,496","11,753","9,60,057","92,572","46,28,511","11,72,236","4,04,269","6,34,953","13,42,204","31,30,801","28,05,410","39,298","4,724","26,99,003","50,57,844","85,731","69,157","52,576","59,620","18,44,679","63,209","6,54,673","48,06,418","60,149","26,11,426","9,50,014","5,82,814","43,93,145","5,48,314","42,50,981","14,68,477"
20210330,"16,480","21,21,512","65,951","9,01,311","22,81,396","64,871","15,08,503","10,778","12,174","9,93,695","95,243","48,28,685","13,31,532","4,31,342","6,56,985","13,50,812","32,42,113","29,57,153","39,387","4,829","27,02,019","52,55,093","86,044","70,556","52,785","62,104","19,25,880","63,342","6,90,010","48,87,410","60,964","26,84,001","10,34,705","6,10,584","44,17,459","5,63,392","44,37,985","14,69,950"
20210331,"16,480","22,11,816","65,951","9,08,707","23,98,125","66,030","16,24,926","10,991","12,628","10,14,199","97,320","50,24,412","14,37,776","4,39,777","6,56,985","13,69,270","33,74,768","30,15,107","39,516","4,829","28,55,859","54,54,614","86,331","71,605","52,859","63,473","19,99,347","67,035","7,36,424","49,99,156","61,362","27,57,835","10,66,073","6,20,166","44,83,979","5,77,234","45,61,135","14,79,101"
20210401,"17,208","23,28,950","71,504","9,37,673","25,99,756","68,995","18,51,931","13,272","13,604","10,76,552","1,00,899","54,59,159","15,44,298","4,84,104","6,93,927","13,92,034","35,05,736","30,99,836","43,775","5,090","32,20,877","57,49,202","86,708","74,888","53,603","65,168","21,90,790","69,200","8,09,761","52,49,027","65,348","28,35,444","11,25,512","6,41,213","47,66,418","6,15,072","47,33,333","14,88,931"
20210402,"17,669","24,95,977","77,143","10,03,488","26,90,447","71,745","21,81,661","15,885","15,679","11,56,290","1,09,280","58,12,421","15,58,348","5,05,998","7,25,720","14,89,422","38,23,255","33,08,955","49,210","5,706","33,77,402","62,47,362","83,274","85,992","56,979","60,743","23,09,764","70,647","9,73,046","53,79,570","66,638","28,29,190","11,48,692","6,29,858","53,66,904","6,90,893","51,00,255","14,90,081"
20210403,"18,190","25,85,721","80,367","10,33,247","27,95,440","75,037","23,51,463","17,477","17,377","12,17,323","1,12,067","61,27,830","16,00,351","5,24,093","7,54,726","15,11,113","40,07,374","34,30,171","52,961","5,949","35,49,851","65,59,094","84,338","87,064","57,050","60,826","24,26,177","74,151","10,49,891","56,24,931","67,370","28,71,776","11,96,610","6,40,102","55,71,181","7,30,947","52,71,541","14,98,293"
20210404,"18,833","26,27,356","81,893","10,45,431","29,31,751","77,467","26,59,230","19,104","18,581","12,96,408","1,14,143","65,52,816","16,44,625","5,41,886","7,81,331","16,03,481","41,23,367","34,62,664","55,645","6,243","36,88,501","68,79,975","84,572","87,281","57,059","60,909","27,10,936","75,651","11,29,011","60,20,639","67,561","29,01,208","12,33,204","6,48,769","56,83,248","7,73,465","54,16,000","14,98,594"
20210405,"19,927","27,39,725","83,411","10,87,024","31,28,321","80,579","27,65,623","21,501","20,421","13,73,454","1,17,638","68,17,703","17,48,000","5,77,594","8,15,056","16,85,153","43,30,730","35,97,752","59,196","6,303","39,15,779","72,98,206","84,333","87,720","57,835","62,688","28,68,211","77,398","12,01,737","64,00,581","70,887","29,07,580","12,96,813","6,63,699","60,71,090","8,36,601","57,91,392","15,09,648"
20210406,"21,509","28,13,650","86,864","11,21,967","34,13,610","83,325","29,35,774","23,653","22,558","14,45,636","1,21,132","71,10,160","18,32,652","6,40,752","8,75,779","17,35,053","44,96,243","36,23,797","61,203","7,036","41,12,933","77,08,299","85,284","91,294","60,838","65,756","30,76,261","78,014","12,84,982","68,69,590","77,249","29,35,315","13,53,143","6,76,313","64,78,775","9,05,908","60,95,641","15,09,067"
20210407,"22,919","29,24,901","88,250","11,38,046","35,41,310","86,126","30,58,059","24,969","24,059","14,81,156","1,24,443","72,24,754","18,63,517","6,80,428","9,20,603","18,04,732","47,17,382","37,06,748","62,881","7,566","44,02,970","80,75,190","86,069","94,058","63,880","69,379","31,78,508","79,262","13,43,134","73,03,354","81,528","29,76,866","14,14,009","6,82,191","66,72,131","9,53,024","62,52,846","15,31,779"
20210408,"25,396","30,20,636","93,105","11,82,238","36,65,305","89,382","33,24,849","26,720","25,436","15,65,598","1,28,428","75,01,404","19,41,143","7,41,610","9,95,441","18,55,334","49,36,828","38,99,535","63,903","8,381","46,51,144","84,35,010","86,907","98,207","67,481","72,339","33,17,085","81,412","14,31,295","77,72,197","90,081","30,62,266","15,04,810","6,98,444","69,51,956","10,15,393","64,65,955","15,63,868"
20210409,"27,698","30,81,189","97,952","12,15,771","37,21,925","92,814","35,41,500","28,436","27,282","16,13,241","1,33,271","77,49,340","20,25,153","7,88,371","10,53,961","18,79,304","52,42,211","40,99,030","64,284","9,225","47,70,449","87,02,534","88,308","1,01,170","71,542","74,498","34,85,921","83,958","15,27,164","81,67,023","97,386","31,68,084","16,11,571","7,13,357","71,70,213","10,70,169","67,85,233","15,83,314"
20210410,"29,877","32,84,504","1,01,758","12,36,253","39,56,794","96,744","37,22,048","29,930","29,200","17,05,369","1,40,447","79,83,507","20,89,324","8,37,397","10,95,827","19,71,885","55,02,677","42,70,953","64,518","10,148","48,66,689","89,70,148","88,817","1,03,084","73,635","75,334","36,07,557","87,159","16,18,664","84,50,218","99,963","32,75,326","17,64,351","7,21,022","72,55,844","11,04,878","69,73,057","15,91,055"
20210411,"32,059","33,63,469","1,05,089","12,44,430","41,91,596","99,484","38,88,692","31,193","30,305","17,80,624","1,47,239","81,56,563","21,82,047","8,76,536","11,29,343","20,65,590","56,36,466","43,33,801","65,236","10,693","52,24,167","92,20,610","90,439","1,04,057","73,847","79,484","37,19,357","93,816","16,91,144","85,82,526","1,01,795","33,16,627","18,61,828","7,27,231","75,59,629","11,27,424","70,51,379","15,91,585"
20210412,"36,572","33,80,467","1,12,658","12,63,456","43,74,749","1,03,131","40,33,975","32,891","31,813","18,55,516","1,54,531","83,43,790","23,08,382","9,40,183","11,91,248","21,27,740","58,14,171","45,71,678","66,115","11,146","56,05,688","95,20,725","92,517","1,07,587","81,107","86,340","38,43,843","1,04,246","17,76,996","87,59,896","1,10,175","34,50,649","19,82,661","7,37,756","80,16,090","11,71,271","72,42,839","15,98,441"
20210413,"43,069","33,83,763","1,18,869","12,74,783","44,57,751","1,06,138","41,22,287","33,727","32,641","19,12,085","1,58,199","85,02,799","24,22,551","9,96,917","12,17,868","21,97,836","58,48,203","47,14,426","66,540","11,852","59,03,109","97,18,039","94,174","1,12,648","87,337","92,503","39,22,145","1,18,439","18,36,443","88,86,496","1,19,163","35,67,442","20,07,123","7,44,971","83,31,287","12,05,293","73,28,568","16,04,430"
20210414,"49,657","39,77,725","1,24,509","12,76,967","46,10,622","1,08,803","41,86,976","34,429","33,430","19,71,296","1,67,525","86,23,246","25,44,910","10,39,728","12,45,958","22,80,764","59,35,232","47,30,171","66,813","12,503","62,05,422","1,00,39,359","96,396","1,16,428","94,675","98,959","39,93,009","1,27,079","19,07,757","89,97,044","1,24,532","36,41,255","21,29,830","7,47,029","86,06,878","12,28,455","73,98,835","16,04,993"
20210415,"54,819","40,04,003","1,27,072","12,77,867","47,17,948","1,11,665","42,24,216","35,177","33,886","20,32,057","1,73,929","87,30,225","25,97,444","10,70,591","12,85,932","23,18,659","60,61,565","48,99,857","66,918","13,243","63,50,073","1,03,57,897","97,793","1,20,725","1,05,266","1,02,972","41,21,043","1,36,469","19,82,703","90,95,197","1,30,118","38,08,634","22,83,977","7,47,072","87,91,482","12,54,098","74,15,397","16,11,266"
20210416,"61,411","40,07,551","1,30,828","12,83,012","47,76,572","1,14,800","42,80,491","35,992","34,636","20,65,707","1,82,592","88,14,503","26,58,282","11,12,734","13,22,237","23,51,741","62,26,678","50,42,561","67,005","13,655","63,92,966","1,06,59,857","99,928","1,24,096","1,17,031","1,07,194","42,07,944","1,44,659","20,67,068","92,07,156","1,35,545","39,69,605","24,47,944","7,56,499","89,78,586","12,91,499","74,99,557","16,18,362"
20210417,"67,540","40,10,028","1,34,090","12,95,693","48,96,516","1,17,734","43,77,025","36,504","35,460","21,21,119","1,91,878","89,21,816","27,06,400","11,43,734","13,58,847","23,94,315","64,49,748","51,58,593","67,157","14,259","65,48,033","1,08,50,268","1,02,125","1,25,525","1,22,337","1,08,524","42,62,088","1,50,083","21,45,957","93,32,463","1,39,394","40,64,944","25,85,616","7,66,319","91,02,697","13,24,657","75,77,349","16,24,241"
20210418,"71,357","40,13,148","1,35,397","13,03,062","49,85,475","1,19,500","44,49,075","36,672","35,693","21,62,311","1,98,368","89,92,115","27,40,753","11,53,057","13,86,613","24,27,168","65,32,579","51,89,796","67,185","15,125","65,66,455","1,09,59,587","1,02,997","1,25,611","1,22,419","1,09,570","43,11,575","1,51,684","22,05,090","94,59,005","1,40,119","40,91,849","25,91,197","7,69,529","91,06,356","13,26,582","75,93,079","16,24,617"
20210419,"75,722","41,40,857","1,40,794","13,52,132","51,00,351","1,22,192","45,17,261","37,077","36,163","22,02,789","2,04,861","90,83,441","28,05,495","11,84,947","14,39,629","24,49,355","67,11,272","52,99,366","67,732","15,339","67,01,986","1,12,40,723","1,06,512","1,29,154","1,31,788","1,17,084","44,13,360","1,53,652","22,80,439","96,60,969","1,43,952","41,47,880","27,42,190","7,80,220","92,25,108","13,66,829","77,01,573","16,28,987"
20210420,"78,989","42,34,813","1,45,144","14,16,049","51,96,802","1,24,937","45,61,972","37,470","36,823","22,38,274","2,12,256","91,81,707","28,59,343","12,25,881","14,92,606","24,77,789","68,71,674","54,43,585","68,954","15,724","67,25,635","1,14,47,503","1,09,889","1,33,700","1,39,761","1,22,615","44,99,013","1,54,986","23,52,746","98,28,519","1,46,886","41,87,801","28,62,110","7,91,007","93,56,397","14,00,682","78,31,331","16,34,519"
20210421,"80,901","42,57,224","1,48,714","14,55,272","52,65,752","1,27,635","45,94,206","37,643","37,125","22,77,806","2,18,280","92,51,289","28,90,506","12,44,661","15,33,009","24,96,799","70,05,121","55,12,420","70,012","16,259","67,37,936","1,16,92,299","1,14,375","1,37,351","1,44,527","1,28,949","45,79,807","1,56,991","24,03,661","99,52,757","1,47,787","42,23,499","29,65,900","7,94,923","94,50,086","14,26,520","79,34,485","16,35,109"
20210422,"83,377","43,37,751","1,54,057","15,10,540","53,45,938","1,30,884","46,43,298","37,860","37,554","23,26,052","2,24,566","93,29,491","29,29,178","12,86,023","15,77,017","25,12,175","71,59,742","56,03,437","70,599","16,567","68,51,566","1,19,67,170","1,17,491","1,44,942","1,56,092","1,34,903","46,45,662","1,58,747","24,49,142","1,00,69,713","1,49,884","42,69,535","31,50,499","7,99,805","95,64,334","14,61,335","80,24,983","16,41,554"
20210423,"85,201","44,64,815","1,59,197","15,57,736","54,16,621","1,34,396","46,86,345","38,117","38,007","23,47,478","2,30,436","94,12,482","29,84,321","13,22,733","16,32,676","25,33,003","73,34,507","56,73,951","71,353","16,836","68,71,944","1,21,84,898","1,19,445","1,52,090","1,66,665","1,36,697","47,21,327","1,60,538","25,26,537","1,01,78,267","1,52,278","43,23,789","33,32,794","8,11,546","96,79,894","14,91,031","81,39,618","16,46,918"
20210424,"86,810","45,43,673","1,62,665","15,93,261","54,80,400","1,37,994","47,21,481","38,290","38,426","23,95,943","2,37,654","94,96,008","30,32,843","13,54,901","16,92,218","25,50,919","74,39,084","57,88,558","71,714","17,300","69,42,969","1,23,27,006","1,24,605","1,57,665","1,70,791","1,37,230","47,33,735","1,61,852","26,17,356","1,02,98,573","1,53,579","43,77,101","35,00,805","8,20,756","97,79,846","15,18,489","82,27,260","16,50,564"
20210425,"87,865","45,47,958","1,63,544","16,05,276","55,34,725","1,40,795","47,46,298","38,333","38,572","24,25,355","2,41,453","95,50,111","30,59,744","13,63,254","17,31,794","25,58,664","74,95,249","58,01,268","71,734","17,492","69,49,737","1,24,04,727","1,26,565","1,58,278","1,70,859","1,37,580","47,36,047","1,62,204","26,76,408","1,03,88,447","1,53,939","43,88,488","35,59,283","8,24,664","97,83,416","15,30,925","82,43,729","16,51,006"
20210426,"89,290","47,62,101","1,68,237","16,65,104","56,15,883","1,44,304","47,72,489","38,498","38,876","24,61,953","2,48,297","96,34,479","30,96,121","13,96,592","17,99,415","25,74,795","76,32,148","58,85,342","72,754","17,863","69,88,485","1,27,68,755","1,35,061","1,71,821","1,81,154","1,41,444","47,91,100","1,63,559","27,46,960","1,05,08,538","1,55,696","44,40,851","37,45,507","8,40,474","98,83,945","15,63,590","83,63,952","16,55,576"
20210427,"90,471","49,04,196","1,72,237","17,29,878","56,87,362","1,48,026","47,91,469","38,690","39,124","24,95,694","2,56,198","97,19,163","31,22,892","14,34,423","18,48,977","25,89,163","77,51,009","59,47,415","73,508","18,018","69,96,437","1,30,31,376","1,42,665","1,87,428","1,91,462","1,45,553","48,39,305","1,64,777","27,79,390","1,05,78,645","1,57,168","44,96,115","38,37,585","8,56,929","99,53,815","15,85,720","84,67,479","16,60,246"
20210428,"91,394","49,55,417","1,76,893","17,68,084","57,52,806","1,51,928","48,07,765","38,831","39,385","25,12,517","2,62,813","97,87,790","31,48,162","14,68,118","19,05,011","26,03,204","78,64,810","59,67,887","74,000","18,183","70,20,092","1,31,84,829","1,55,238","2,02,369","1,99,993","1,50,926","48,68,475","1,66,078","28,37,684","1,06,70,385","1,58,440","45,44,687","39,56,425","8,66,472","1,00,19,065","16,10,775","85,40,388","16,64,824"
