,A & N Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Naduv,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,Miscellaneous
20210224,"2,118","1,20,443","5,497","15,795","60,480","1,306","39,390",266,254,"29,025","1,559","80,118","55,075","12,818","10,285","17,708","1,79,124","70,600",748,639,"77,584","1,05,752","2,190","1,200","4,031","5,141","1,34,587","1,023","27,388","1,47,570","1,056","46,149","1,06,583","16,416","86,021","11,833","99,478","39,098"
20210225,"2,385","1,30,591","6,331","21,468","76,211","1,568","48,347",337,254,"34,567","1,918","1,25,357","68,361","17,041","13,391","19,440","1,92,934","88,877",748,688,"1,31,088","1,31,968","2,239","1,350","4,876","5,425","1,54,434","1,024","32,863","1,52,486","1,228","50,844","1,14,020","19,527","2,03,454","14,323","1,20,107","40,924"
20210226,"2,422","1,39,337","6,741","27,675","79,212","1,712","51,791",432,287,"37,053","2,072","1,67,448","71,983","20,924","16,255","23,837","2,13,768","1,04,866",829,710,"1,60,632","1,60,233","2,545","1,726","5,659","5,497","1,58,267","1,224","36,351","2,24,760","1,361","56,432","1,30,019","21,529","3,10,058","19,446","1,44,765","44,020"
20210227,"2,422","1,39,337","6,741","27,675","79,212","1,712","51,791",432,287,"37,053","2,072","1,67,448","71,983","20,924","16,255","23,837","2,13,768","1,04,866",829,710,"1,60,632","1,60,233","2,545","1,726","5,659","5,497","1,58,267","1,224","36,351","2,24,760","1,361","56,432","1,30,019","21,529","3,10,058","19,446","1,44,765","46,333"
20210228,"2,422","1,39,337","6,741","27,675","79,212","1,712","51,791",432,287,"37,053","2,072","1,67,448","71,983","20,924","16,255","23,837","2,13,768","1,04,866",829,710,"1,60,632","1,60,233","2,545","1,726","5,659","5,497","1,58,267","1,224","36,351","2,24,760","1,361","56,432","1,30,019","21,529","3,10,058","19,446","1,44,765","46,333"
20210301,"2,556","1,42,431","7,309","29,159","81,079","1,899","57,807",534,287,"40,139","2,321","1,80,941","74,391","25,720","17,280","28,056","2,14,820","1,13,613",829,802,"1,83,795","1,73,817","2,653","1,920","6,694","5,579","1,65,127","1,474","38,683","2,45,561","1,882","66,379","1,30,019","22,780","3,10,119","21,677","1,48,584","49,083"
20210302,"2,589","1,44,834","7,451","30,730","91,556","1,966","61,489",576,325,"43,815","3,208","1,91,852","76,796","29,736","18,096","32,454","2,16,730","1,20,762",829,803,"1,83,795","1,84,183","3,116","2,042","8,092","5,678","1,69,152","1,595","40,211","2,56,548","2,002","71,403","1,31,942","24,230","3,10,119","25,532","1,67,186","50,555"
20210303,"2,589","1,48,401","7,451","31,836","1,09,203","2,159","71,624",606,484,"48,011","3,971","2,00,859","78,055","33,984","18,096","39,270","2,19,212","1,28,161",896,803,"2,04,455","2,00,658","3,523","2,228","9,036","5,766","1,71,264","1,897","42,234","2,69,794","2,243","78,030","1,31,942","25,227","3,10,119","31,411","1,89,165","52,264"
20210304,"2,589","1,54,853","8,097","37,045","1,40,711","2,505","88,875",718,622,"52,820","5,009","2,64,864","81,934","39,206","20,168","45,675","2,22,409","1,48,454","1,413",803,"2,20,200","2,17,253","3,774","2,539","9,109","5,918","1,85,176","2,020","44,470","2,83,269","2,689","84,064","1,31,942","26,908","3,64,486","41,582","2,10,948","53,551"
20210305,"2,727","1,66,166","8,952","45,061","1,65,419","2,816","1,03,785",778,754,"57,980","5,910","3,09,655","84,784","42,818","23,015","54,239","2,28,257","1,66,495","1,883",818,"2,21,423","2,37,484","4,290","3,412","9,171","5,994","1,88,517","2,070","47,018","3,06,029","3,759","91,062","1,31,942","29,091","4,10,242","49,018","2,33,229","54,958"
20210306,"2,865","1,82,716","9,457","50,513","1,91,841","3,140","1,20,670",938,787,"65,135","6,318","3,44,516","86,086","45,581","26,397","61,491","2,35,607","1,83,899","2,135",832,"2,34,666","2,61,582","5,009","3,981","9,213","6,043","1,98,600","2,311","49,427","3,29,018","4,148","97,917","1,31,942","29,827","4,11,044","54,089","2,47,942","56,358"
20210307,"2,865","1,82,716","9,457","51,060","1,91,841","3,140","1,20,922",938,787,"65,135","6,318","3,44,594","86,121","45,758","26,397","64,047","2,35,677","1,85,422","2,135",832,"2,34,666","2,61,625","5,027","4,048","9,213","6,043","1,98,600","2,311","49,508","3,29,424","4,148","97,917","1,31,942","29,827","4,11,044","54,158","2,48,797","56,647"
20210308,"2,998","1,95,839","10,263","58,891","2,22,083","3,625","1,33,822","1,010",849,"72,451","6,639","3,63,951","91,809","48,673","31,206","74,678","2,52,671","2,03,608","2,236",854,"2,48,379","2,85,764","6,248","4,680","9,276","6,433","2,31,787","2,509","52,365","3,47,013","5,099","1,04,581","1,43,154","33,469","4,16,526","59,922","2,69,515","60,574"
20210309,"3,037","2,08,374","10,651","65,256","2,44,396","4,125","1,44,952","1,234",858,"80,954","7,055","4,07,287","1,00,219","56,024","37,332","88,551","2,64,374","2,21,228","2,313",902,"2,48,697","3,05,357","6,643","5,534","9,400","6,924","2,55,039","2,803","55,914","3,67,849","5,862","1,11,897","1,55,505","37,446","4,16,986","65,695","2,92,981","64,025"
20210310,"3,048","2,16,646","10,651","68,981","2,61,191","4,611","1,60,112","1,384",958,"89,375","7,819","4,28,253","1,03,317","59,081","37,021","95,656","2,81,517","2,32,717","2,514",902,"2,75,183","3,36,067","7,902","6,390","9,799","7,777","2,71,999","3,040","59,042","4,08,794","6,394","1,19,105","1,63,865","38,565","4,17,448","69,933","3,13,261","70,212"
20210311,"3,060","2,17,825","11,290","72,959","2,61,191","4,690","1,61,209","1,384",958,"97,050","8,767","4,28,773","1,04,396","59,331","37,216","1,02,099","2,84,476","2,40,623","2,725",902,"2,75,183","3,44,672","8,682","7,518","9,946","9,008","2,72,809","3,228","59,522","4,08,812","7,150","1,26,323","1,63,865","39,571","4,17,492","70,576","3,23,763","80,035"
20210312,"3,145","2,27,582","11,815","77,240","2,83,345","5,120","1,76,659","1,657",993,"1,06,603","10,122","4,76,040","1,10,641","65,691","37,255","1,15,956","3,00,328","2,57,856","2,821",902,"2,77,856","3,78,072","10,191","8,551","10,008","9,518","2,99,260","3,522","63,517","4,39,812","7,429","1,35,519","1,63,865","45,672","4,99,242","78,008","3,50,871","90,269"
20210313,"3,282","2,32,910","12,248","79,314","3,02,895","5,602","1,91,714","1,657","1,031","1,17,073","10,452","5,03,706","1,12,287","67,113","51,026","1,28,045","3,06,059","2,66,575","2,907","1,592","3,27,284","3,97,395","10,636","9,346","10,084","9,841","3,12,535","3,832","66,193","4,57,912","7,429","1,43,923","1,68,709","47,726","5,01,476","82,735","3,70,634","1,05,596"
20210314,"3,282","2,32,910","12,248","79,343","3,02,895","5,602","1,92,375","1,657","1,031","1,17,073","10,452","5,04,411","1,12,407","67,255","51,026","1,34,234","3,06,859","2,67,367","2,908","1,592","3,27,284","4,04,937","10,636","9,346","10,084","9,968","3,12,535","3,832","66,203","4,58,218","7,429","1,43,923","1,73,593","47,732","5,01,527","83,136","3,72,182","1,06,161"
20210315,"3,486","2,42,265","13,014","84,368","3,22,637","6,225","2,08,728","1,801","1,112","1,27,125","11,015","5,27,684","1,21,681","70,197","64,434","1,46,253","3,19,712","2,80,907","2,927","1,762","3,70,068","4,38,754","12,751","9,896","10,514","11,517","3,32,435","4,061","70,077","4,72,016","7,721","1,52,565","1,77,533","54,723","5,68,148","88,414","4,02,288","1,27,134"
20210316,"3,562","2,54,463","13,484","87,966","3,36,166","6,792","2,22,034","1,858","1,177","1,38,439","11,395","5,52,817","1,25,392","74,008","79,347","1,61,402","3,29,222","2,95,270","3,345","1,762","3,71,081","4,66,502","13,911","11,818","10,608","12,962","3,42,871","4,318","72,780","4,85,483","7,994","1,63,399","1,80,071","58,020","6,32,615","93,825","4,24,523","1,49,817"
20210317,"3,562","2,66,777","13,484","89,481","3,47,671","7,241","2,34,912","1,926","1,315","1,47,561","11,821","5,60,511","1,26,501","76,099","79,366","1,72,019","3,42,180","3,03,772","3,647","1,851","4,04,511","4,98,255","15,720","13,539","10,671","13,900","3,48,236","4,530","75,415","5,92,208","8,359","1,73,543","1,81,044","58,868","6,38,884","97,213","4,39,932","1,75,943"
20210318,"3,969","2,76,341","14,572","93,180","3,62,520","7,669","2,47,354","2,007","1,417","1,61,571","12,010","5,75,732","1,29,113","78,464","92,572","1,81,874","3,49,242","3,15,358","4,227","1,977","4,04,511","5,23,187","16,991","15,727","11,212","15,273","3,55,289","5,068","78,669","6,07,287","8,884","1,84,205","1,91,799","62,371","7,55,959","1,01,592","4,57,950","2,06,444"
20210319,"3,989","2,87,421","15,477","98,114","3,72,720","8,065","2,58,528","2,092","1,483","1,72,577","12,544","5,89,846","1,32,547","81,189","1,00,033","1,85,844","3,61,034","3,26,417","4,777","2,003","4,05,077","5,58,783","18,747","18,153","11,564","15,925","3,62,407","5,541","81,924","6,39,945","9,409","1,96,301","2,02,129","65,318","7,83,705","1,05,105","4,81,943","2,42,686"
20210320,"4,347","2,98,188","15,869","1,02,817","3,86,252","8,446","2,68,102","2,128","1,535","1,86,677","13,019","5,98,596","1,33,636","83,251","1,05,157","1,92,742","3,71,724","3,34,495","5,246","2,014","4,30,724","5,95,149","20,928","19,385","11,746","16,252","3,67,290","6,041","84,404","6,49,981","9,742","2,07,782","2,02,526","66,719","7,89,966","1,07,659","4,99,968","2,78,151"
20210321,"4,347","2,98,188","15,869","1,03,130","3,86,252","8,449","2,68,250","2,128","1,535","1,86,714","13,019","6,01,245","1,33,697","83,353","1,05,157","1,96,743","3,72,403","3,34,671","5,248","2,014","4,30,724","5,95,905","21,061","19,385","11,746","16,252","3,67,290","6,041","84,777","6,51,387","9,742","2,07,782","2,02,526","66,824","7,90,194","1,07,713","5,01,784","2,78,151"
20210322,"4,829","3,07,733","16,821","1,09,881","3,92,764","8,956","2,77,919","2,128","1,556","2,01,626","13,598","6,09,048","1,40,404","84,827","1,17,592","2,02,955","3,82,853","3,42,811","5,794","2,029","4,67,674","6,30,070","23,245","21,630","12,079","18,819","3,73,594","6,282","88,097","6,58,050","10,742","2,19,495","2,03,509","69,359","8,65,048","1,10,284","5,34,591","3,24,749"
20210323,"5,001","3,16,719","17,375","1,18,081","4,02,191","9,368","2,85,740","2,149","1,582","2,12,720","13,884","6,14,639","1,41,735","86,528","1,24,190","2,08,782","3,90,230","3,54,677","6,059","2,050","4,67,836","6,50,488","25,001","23,904","12,461","20,013","3,78,445","6,509","90,769","6,62,418","11,625","2,28,488","2,18,588","71,046","8,73,862","1,12,637","5,61,450","3,80,094"
20210324,"5,068","3,28,146","17,474","1,20,799","4,09,195","9,719","2,91,767","2,166","1,606","2,19,920","14,521","6,21,960","1,42,762","87,548","1,24,190","2,13,445","3,98,417","3,58,455","6,146","2,052","4,78,784","6,72,128","27,033","25,049","12,564","20,994","3,81,808","6,600","92,695","6,66,700","11,907","2,34,718","2,19,090","72,178","8,77,846","1,13,980","5,81,075","4,28,666"
20210325,"5,295","3,41,152","18,230","1,27,723","4,15,782","10,039","2,97,510","2,201","1,642","2,27,967","15,032","6,26,484","1,44,942","88,676","1,31,274","2,17,759","4,02,779","3,63,741","6,250","2,059","4,84,883","6,87,865","28,805","27,072","12,719","21,651","3,86,329","6,652","94,954","6,69,692","12,049","2,40,102","2,21,499","73,661","9,00,996","1,15,457","6,00,615","4,71,430"
20210326,"5,352","3,53,748","18,982","1,32,071","4,23,448","10,444","3,01,916","2,228","1,756","2,32,641","15,719","6,30,820","1,46,552","89,939","1,35,575","2,18,819","4,10,308","3,68,111","6,378","2,066","4,84,999","7,07,926","31,121","28,103","13,156","21,967","3,89,635","6,745","96,887","6,74,962","12,160","2,46,944","2,24,707","75,025","9,08,053","1,16,611","6,23,669","5,13,612"
